canonical_smiles,y_pred
Cc1cccc(C)c1C1=C2C=C(c3ccc4c(=O)[nH][nH]c(=O)c4c3)C(c3ccc(-c4ccc(NC(=O)OC(C)(C)C)cc4)s3)=[N+]2[B-](F)(F)n2c1ccc2-c1ccc(-c2ccc(NC(=O)OC(C)(C)C)cc2)s1,1
Cc1cccc(C)c1C1=C2C=CC(c3ccc(-c4ccc(NC(=O)OC(C)(C)C)cc4)s3)=[N+]2[B-](F)(F)n2c1ccc2-c1ccc(-c2ccc(NC(=O)OC(C)(C)C)cc2)s1,1
CC(C)=CC(=O)CC1=C2C=c3c(c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc34)=[N+]2[B-](F)(F)n2c1cc1c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc3c12,1
COc1ccc2c(c1)c1c(c3cc(OC)ccc32)=[N+]2C(=C(CC(=O)C=C(C)C)c3cc4c5cc(OC)ccc5c5ccc(OC)cc5c4n3[B-]2(F)F)C=1,1
COc1cc2c3c(c4cc(OC)c(OC)c(OC)c4c2c(OC)c1OC)=[N+]1C(=C(CC(=O)C=C(C)C)c2cc4c5cc(OC)c(OC)c(OC)c5c5c(OC)c(OC)c(OC)cc5c4n2[B-]1(F)F)C=3,1
F[B-]1(F)n2c(cc3oc4c5ccccc5ccc4c32)C(C(F)(F)F)=C2C=c3oc4c(ccc5ccccc54)c3=[N+]21,1
F[B-]1(F)n2c(cc3sc4ccsc4c32)C(C(F)(F)F)=C2C=c3sc4ccsc4c3=[N+]21,1
F[B-]1(F)n2c(cc(Br)c2-c2ccc[nH]2)C(c2ccccc2)=C2C=C(Br)C(c3ccc[nH]3)=[N+]21,1
C#CCn1c2ccccc2c2cc(C=CC3=[N+]4C(=C(c5ccc(C)cc5)c5c(C)cc(C=Cc6ccc7c(c6)c6ccccc6n7CC#C)n5[B-]4(F)F)C(C)=C3)ccc21,1
COc1ccc(-c2ccc(C3=[N+]4C(=C(c5c(C)cccc5C)c5ccc(-c6ccc(-c7ccc(OC)cc7)s6)n5[B-]4(F)F)C=C3)s2)cc1,1
CN(C)c1ccc(C2=NC(=Nc3[nH]c(-c4ccc(N(C)C)cc4)cc3-c3ccc(C(C)(C)C)cc3)C(c3ccc(C(C)(C)C)cc3)=C2)cc1,1
CCN(CC)c1ccc2c(C=CC=C3N(C)c4ccccc4C3(C)C)c3ccc(N(CC)CC)cc3[o+]c2c1,1
CCN(CC)c1ccc2c(C=CC=C3C=Cc4ccccc4N3C)c3ccc(N(CC)CC)cc3[o+]c2c1,1
CN1C(=CC=CC=CC2N(C)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2c1ccc1ccccc21,1
CC1(C)C(=CC=CC=CC2=[N+](CCCCNC(=O)c3cc(NCCS(=O)(=O)O)cc(N(CCS(=O)(=O)[O-])CCS(=O)(=O)O)c3)c3ccc4ccccc4c3C2(C)C)N(CCCCCC(=O)O)c2ccc3ccccc3c21,1
CCN(CC)C1=CC2[O+]=C3C(=CC4=C5Oc6cc(N(CC)CC)ccc6C=C5CCC4)CCCC3=C(Oc3ccc(C(=O)O)cc3)C2C=C1,1
CCN(CC)C1=CC2[O+]=C3C(=CC=CC4=C5Oc6cc(N(CC)CC)ccc6C=C5CCC4)CCCC3=CC2C=C1,1
CCN(CC)C1=CC2[O+]=C3C(=CC=CC=CC4=C5Oc6cc(N(CC)CC)ccc6C=C5CCC4)CCCC3=CC2C=C1,1
CC(=O)Nc1ccc(SC2=C(C=CC3=[N+](Cc4ccccc4)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCCC2=CC=C2N(Cc3ccccc3)c3ccc(S(=O)(=O)O)cc3C2(C)C)cc1,1
CC1(C)C(=CC=CC=CC2=[N+](CCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)N(CCCCCC(=O)NCC(C(=O)NCC(C(=O)O)S(=O)(=O)O)S(=O)(=O)O)c2cc3ccccc3cc21,1
O=S(=O)([O-])CCCCn1c(=CC=C2CCCC(C=CC3=[N+](CCCCS(=O)(=O)[O-])c4cccc5cccc3c45)=C2Cl)c2cccc3cccc1c32,1
CN(C)c1ccc2c(c1)OC(c1ccccc1)=CC2=CC=C1CCCC(C=Cc2cc(-c3ccccc3)[o+]c3cc(N(C)C)ccc23)=C1SCCC(=O)O,1
CCN(CC)c1ccc2c(c1)OC1=C(C=CC=C3CCCc4cc5ccc(N(CC)CC)cc5[o+]c43)CCCC1=C2,1
CN1C(=CC=CC=CC=CC2N(C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,1
CCN1CCN(CC)C2=CC(OC)C(=C3C(=O)C(c4cc5c(cc4OC)N(CC)CCN5CC)=C3[O-])C=C21,1
CCN1C2=CCC(=C3C(=O)C(c4ccc5c(c4)N(CC)C(c4ccccc4)C(c4ccccc4)N5CC)=C3[O-])C=C2N(CC)C(c2ccccc2)C1c1ccccc1,1
CCN(CC)c1ccc2c(c1)C(F)(F)C(=C(C#N)C#N)C=C2C#N,1
COc1ccc(C2=[N+]3C(=Nc4c(-c5cc6c7c(c5)CCCN7CCC6)cc(-c5ccc(OC)cc5)n4[B-]3(F)F)C(c3cc4c5c(c3)CCCN5CCC4)=C2)cc1,1
C[Si]1(C)C2=CC(=[N+]3CCC3)C(F)=CC2=C(c2c(F)c(F)c(F)c(F)c2C(=O)[O-])c2cc(F)c(N3CCC3)cc21,1
CCOC(=O)CSc1c(F)c(F)c(C(=O)[O-])c(C2=C3C=CC(=[N+]4CCC4)C=C3[Si](C)(C)c3cc(N4CCC4)ccc32)c1F,1
C[Si]1(C)C2=CC(=[N+]3CCC3)C=CC2=C(c2c(F)c(SCC(=O)O)c(F)c(F)c2C(=O)[O-])c2ccc(N3CCC3)cc21,1
CN(C)c1ccc2c(c1)[Si](C)(C)C1=CC(=[N+](C)C)C=CC1=C2c1c(F)c(F)c(F)c(F)c1C(=O)[O-],1
CN(C)c1ccc2c(-c3ccccc3)c3ccc4cc(=[N+](C)C)ccc4c3[te]c2c1,1
CN(C)c1ccc2c(-c3ccccc3)c3cc4ccc(=[N+](C)C)cc4cc3[te]c2c1,1
CC(C)(C)c1ccc(C2=CC(c3ccc(N(c4ccccc4)c4ccccc4)cc3)=NC2=Nc2[nH]c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2-c2ccc(C(C)(C)C)cc2)cc1,1
CCN(CC)c1ccc2c(C=CC=C3Sc4ccccc4N3C)c3ccc(N(CC)CC)cc3[o+]c2c1,1
CN1C(=CC=C2CC(C3CC(=CC=C4C(C#N)=C([C-](C#N)C#N)OC4(C)C)C(Cl)=C(C=CC4=C(C#N)C(=C(C#N)C#N)OC4(C)C)C3)CC(C=CC3=[N+](C)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,1
CCCCCCOc1ccc(C2=c3c(c4ccc(OC)cc4c4cc(C(C)(C)C)ccc34)=[N+]3C2=Nc2c(-c4ccc(OCCCCCC)cc4)c4c5ccc(C(C)(C)C)cc5c5cc(OC)ccc5c4n2[B-]3(F)F)cc1,1
Nc1ccc2c(c1)CCCc1c-2[o+]c2c(c1-c1ccccc1)CCCc1cc(N)ccc1-2,1
COc1ccccc1-c1c2c([o+]c3c1CCCc1cc(N)ccc1-3)-c1ccc(N)cc1CCC2,1
CN(C)c1ccc2c(c1)P(=O)(c1ccccc1)C1=CC(=[N+](C)C)C=CC1=C2c1ccccc1,1
Cc1cccc(C)c1C1=C2C=CC(=[N+](C)C)C=C2P(=O)(c2ccccc2)c2cc(N(C)C)ccc21,1
Cc1cc(C)c(C2=C3C=CC(=[N+](C)C)C=C3P(=O)(c3ccccc3)c3cc(N(C)C)ccc32)c(C)c1,1
[N-]=[N+]=NCCOc1ccc(C=Cc2ccc3n2[B-](F)(F)[n+]2c4n(c5ccccc52)[B-](F)(F)[N+]2=CC=CC2=C34)cc1,1
CCCCC(CC)CN1C(=O)c2ccc3c4c(-c5ccc6c7ccccc7n(-c7ccccc7)c6c5)cc5c6c(cc(-c7ccc8c9ccccc9n(-c9ccccc9)c8c7)c(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(CC)CCCC)C5=O,1
CCCCC(CC)CN1C(=O)c2ccc3c4c(-c5ccc6c7ccccc7n(-c7ccccc7)c6c5)cc5c6c(ccc(c7c(-c8ccc9c%10ccccc%10n(-c%10ccccc%10)c9c8)cc(c2c37)C1=O)c64)C(=O)N(CC(CC)CCCC)C5=O,1
CN(C)C(=O)c1ccc2c3c(=O)n4c(c=3c3ccc(C(=O)N(C)C)c1c23)=c1c2c3ccc(C(=O)N(C)C)c5c(C(=O)N(C)C)ccc(c=2c(=O)n1C4)c53,1
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c4c(=O)n5c(c=4c4ccc(c2c34)C1=O)=c1c2c3ccc4c6c(ccc(c=2c(=O)n1C5)c63)C(=O)N(c1c(C(C)C)cccc1C(C)C)C4=O,1
CCN(CC)c1ccc2c(C=CC=C3N(CCCCCS(=O)(=O)O)c4ccc(S(=O)(=O)[O-])cc4C3(C)CCCC(=O)O)cc(C(C)(C)C)[o+]c2c1,1
CCN(CCCS(=O)(=O)[O-])c1ccc2c(C=CC=C3N(CCCCCS(=O)(=O)O)c4ccc(S(=O)(=O)[O-])cc4C3(C)CCCC(=O)O)cc(C(C)(C)C)[o+]c2c1,1
CCN(CCCS(=O)(=O)O)c1ccc2c(C=CC=C3N(CCCCCS(=O)(=O)O)c4ccc(S(=O)(=O)[O-])cc4C3(C)CCCC(=O)O)cc(C(C)(C)C)[o+]c2c1,1
CC(C)(C)c1cc(C=CC=C2N(CCC[SH](=O)(O)O)c3ccc(S(=O)(=O)O)cc3C2(C)CCCC(=O)O)c2ccc(N(CCCS(=O)(=O)[O-])CCCS(=O)(=O)O)cc2[o+]1,1
CC(C)(C)c1cc(C=CC=C2N(CCC[SH](=O)(O)O)c3ccc(S(=O)(=O)O)cc3C2(C)CCCC(=O)O)c2ccc(N(CCCS(=O)(=O)[O-])CCCS(=O)(=O)[O-])cc2[o+]1,1
CC(C)(C)c1cc(C=CC=C2N(CCC[SH](=O)([O-])O)c3ccc(S(=O)(=O)O)cc3C2(C)CCCC(=O)O)c2ccc(N(CCCS(=O)(=O)[O-])CCCS(=O)(=O)[O-])cc2[o+]1,1
CC(C)(C)c1cc(C=CC=C2N(CCC[SH](=O)([O-])O)c3ccc(S(=O)(=O)[O-])cc3C2(C)CCCC(=O)O)c2ccc(N(CCCS(=O)(=O)[O-])CCCS(=O)(=O)[O-])cc2[o+]1,1
CC(C)(C)c1cc(C=CC=C2N(CCC[SH](=O)(O)O)c3ccc(S(=O)(=O)O)cc3C2(C)CCCC(=O)O)c2ccc(N(CCCS(=O)(=O)O)CCCS(=O)(=O)O)cc2[o+]1,1
CC(C)(C)c1cc(C=CC=C2N(CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)c2cc3c4c(c2[o+]1)CCCN4CCC3,1
CC(C)(C)c1cc(C=CC=C2N(CCCCCC(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)c2cc3c4c(c2[o+]1)CCCN4CCC3,1
CC(C)(C)c1cc(C=CC=C2N(CCCS(=O)(=O)[O-])c3ccc(S(=O)(=O)O)cc3C2(C)CCCC(=O)O)c2cc3c4c(c2[o+]1)CCCN4CCC3,1
CC(C)(C)c1cc(C=CC=C2N(CCCS(=O)(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)CCCC(=O)O)c2cc3c4c(c2[o+]1)CCCN4CCC3,1
COCC[N+]1=C(C=CC=CC=C2N(CCCCCC(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)CCCS(=O)(=O)[O-])C(C)(C)C2CC(S(=O)(=O)[O-])=CC=C21,1
COCC[N+]1=C(C=CC=CC=C2N(CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)CCCS(=O)(=O)[O-])C(C)(C)C2CC(S(=O)(=O)[O-])=CC=C21,1
