canonical_smiles,y_pred,mol,SAS,MW
CN(C)c1ccc2c(c1)OC(=CC=Cc1cc[n+](C)cc1)C=C2C(F)(F)F,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F3580>,3.357841038761099,373.398
C[n+]1ccc(C=Cc2cccc(-c3nc4ccccc4s3)c2O)c2ccccc21,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F3970>,2.688651708851543,395.5070000000001
CN(C)c1ccc(-c2cc3ccc([N+](=O)[O-])cc3c(=O)o2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F5AC0>,2.2114325614353714,310.309
CN(CCO)c1ccc(C=CC2=CC(=C(C#N)C#N)CC(C)(C)C2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F5D60>,3.1503602586944304,347.46200000000016
CC[NH+]=c1cc2oc3cc(NCCO)c4ccccc4c3nc-2cc1C,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F65F0>,3.308304566386738,348.4260000000001
Cc1nc2c(ccc3c2sc(C=CC=Cc2ccc(N(C)C)cc2)[n+]3C)s1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F6B30>,3.0945541336661933,392.5730000000001
CN(C)c1ccc(C=Cc2cc[n+](C)c3ccccc23)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F7510>,2.3970772033406025,289.402
N#CC(C#N)=Cc1ccc(-c2ccc(O)c(-c3nc4ccccc4s3)c2)o1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F76D0>,2.684243121601334,369.40500000000003
CC1CC(C)(C)N(C)c2ccc(C=Cc3ccc(C=C(C#N)C(=O)O)s3)cc21,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F7890>,3.46547125494266,392.52400000000017
CCN1C(C=Cc2ccc(C)s2)=CC(=C(C#N)C#N)c2ccccc21,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F7DD0>,3.253387964237314,343.45500000000004
CC[n+]1ccc2ccccc2c1C=Cc1c([O-])ccc2ccc(=O)oc12,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F8580>,3.367684258694429,343.3820000000001
CN(C)c1ccc2nc(C=Cc3cc4c5c(c3)CCCN5CCC4)c(=O)oc2c1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F85F0>,2.8109605259168298,387.48300000000023
CC(C)[Si]1(C(C)C)c2cc(C=C(C#N)C#N)ccc2-c2ccc(N(C)C)cc21,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F8740>,3.4970217147031484,385.58700000000016
COc1ccc(C=CC=CC=Cc2ccc([N+](=O)[O-])cc2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F8820>,2.232408304442364,307.349
CCOc1ccc(C=CC=CC=Cc2ccc([N+](=O)[O-])cc2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F8890>,2.266411399307744,321.37600000000003
CCCOc1ccc(C=CC=CC=Cc2ccc([N+](=O)[O-])cc2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F8900>,2.302428159253566,335.4030000000001
CCCCOc1ccc(C=CC=CC=Cc2ccc([N+](=O)[O-])cc2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x000002739C3F8970>,2.302427643309814,349.43000000000006
